id,word,clase
000efb91e8a57c4e6b71ef98ca096ff0,if you are looking for a good quality motorola headset keep looking this isnt it,0
0042f97d56b3538a1c37114faf6561cb,this is a great product sure beats using your fingers,1
00df50d00df8572ce502be9790dd3920,made very sturdy,1
01031956db695322903e2dc8a6b443d3,these headphones were a great find  and i think they are perhaps the best purchase ive made in the last several years  seriously,1
0115940e28127643551916b41228f6dc,better than youd expect,1
015f1e5a74909c6a719b595f3b90c175,im still infatuated with this phone,1
017e1498be789d9a689204f84133f60e,i have always used corded headsets and the freedom from the wireless is very helpful,1
01bdfe073633605efd4bf4733580bf30,it did not work in my cell phone plug i am very up set with the charger,0
024c7e102277120baa7ac0fafb5b5cf6,im returning them,0
02f320dfdff7d80e0b2b521ef6b9f3f4,i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway,0
02fc4a4dbac596270d011fc4a5b8f84d,the plastic breaks really easy on this clip,0
03a22d03e78475053dd756749348e290,i was not happy with this item,0
04445e2b3ce53af1012cdb221be49888,worthless product,0
04988ec7efd65b81f855fc47b3cfa19c,clear skype calls long battery life long range,1
05339e6807f40ed5787bc20397d91062,cumbersome design,0
059f1048ec117205ab2565a121a2ae58,how stupid is that,0
05b1a9209548811feba151452654e342,overall i am psyched to have a phone which has all my appointments and contacts in and gets great reception,1
0699471bc5f4ecbe7f029d87ba3f4cea,it fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal,1
06c06524f6e59da4d3369fd6a390b66b,awesome device,1
06dda7216481136b7e66619ae3c9c1d3,plantronics bluetooth excelent buy,1
06e8b41d917e3559aca31bed14333f59,i have 23 bars on my cell phone when i am home but you cant not hear anything,0
06f6bd766e05d988d39474829ef8deb4,this is a great phone,1
0722cdc65423abf11c44aed6a9c4fb24,good price,1
0758b8d41fb2be50a70f96f6ffea6d49,doesnt work,0
07e82d25a5de287166f09613777ac026,everything about it is fine and reasonable for the price ie,1
07f5f02dd8569bcb1e1ae07b6f300de1,this product is great it makes working a lot easier i can go to the copier while waiting on hold for something,1
080a966b2c6ed1100c01dcf110ed34d7,setup couldnt have been simpler,1
0871a20a68982f2c2c7cc52e344b6c3e,it is well made easy to access the phone and has a handy detachable belt clip,1
09319671c4e9b48ae7b7a9dc116acf34,good case,1
097f119d771f8117bb7399bd3906e42d,fantastic earphones,1
0994d6962986f14aee9cad416a96b1e9,also if your phone is dropped this case is not going to save it specially when dropped face down,0
09d91330339601b3517d5737f8d6c440,ive owned this phone for 7 months now and can say that its the best mobile phone ive had,1
0a15b96e72f8f8d26d0e8198792a508c,mobile phone tools are a must have,1
